Tag,Headline,Summary,Link
SoftBank Group Corp,SoftBank’s Son grilled by investors over governance lapses,Japanese tech group’s founder faces tough questions following collapses of Greensill and Katerra,https://www.ft.com/content/ce975b4e-db43-4240-b932-85f526c96796
City Bulletin,Housebuilder Berkeley reiterates commitment to London Premium content,"Plus, Swiss Re sells Phoenix Group stake and Martin Wolf on healing democracies",https://www.ft.com/content/dbe010e9-64da-4882-b737-e7c2979ddf65
Bank of Ireland,Irish government to sell stake in Bank of Ireland,State sets out six-month plan to start offloading 13.9% holding acquired during financial crisis ,https://www.ft.com/content/208c1e0f-8d2c-448a-9be0-b0f1a874610c
Cryptocurrencies,South Korea seizes crypto assets in clampdown on ‘tax dodgers’,TV host and doctor among those hit as country intensifies crackdown on digital currencies,https://www.ft.com/content/aa9834a1-8e3a-46c9-a2d8-13b10882c1c9
Hong Kong politics,Hong Kong pro-Beijing legislators intervene in judicial appointment,Incident raises fears over future of financial centre’s independent legal system,https://www.ft.com/content/56de7f6d-c89a-4857-b2f9-5d184fa3d096
UnhedgedRobert Armstrong,"Inflation, made in China Premium content",And the economics of Soho House,https://www.ft.com/content/e431d4c7-9c19-434e-b41a-b183adecafd6
US-Iran tensions,US seizes websites linked to Iranian groups,Justice department claims groups were spreading misinformation and operating without licences,https://www.ft.com/content/85887c18-c247-4dbe-880b-b40de17f6270
Europe Express,Migrant abuse claims cast shadow over EU summit,Amnesty report comes on the eve of leaders’ talks on migration and refugee funding for Turkey,https://www.ft.com/content/cfaf147d-b8de-4c51-af8d-12bc35053498
Serious MoneyClaer Barrett,Inflation casts shadow on new £50 note,Brits love hoarding fifties — but it’s a costly financial habit,https://www.ft.com/content/d875d85d-ac64-4774-b8ef-da3a7557589c
The Big Read,How ‘dark arts’ and dirty tricks turned investors against Toshiba ,Friday’s AGM could see the whole board dismissed as anger over collusion between big business and government mounts ,https://www.ft.com/content/825f549f-2a56-4bab-bf7f-157649eeb45d
News in-depthSpanish politics,Sánchez bet is ‘best opportunity’ in decade to defuse Catalan dispute,"Spanish prime minister’s decision to pardon separatists paves way for progress, analysts say",https://www.ft.com/content/0f7b4510-7be6-4843-ada0-8d540d06c0cb
News in-depthXavier Bertrand,Emmanuel Macron’s rival detects weakness after French regional vote,Xavier Bertrand boosted in quest to be main centre-right candidate to run against president next year,https://www.ft.com/content/95b2fc47-cc37-4296-b294-5d5789107769
Federal Reserve,Fed leadership tries to steady policy message after market gyrations,Jay Powell and other senior officials reaffirm monetary framework after investors feared hawkish turn ,https://www.ft.com/content/cf74366e-c5a1-4213-acbc-50575a4273c8
Euro 2020,Germany still in the game despite decline of national ‘virtues’,"Expectations were low and team shirts are selling at a discount, but Löw’s ageing side still has some fight left",https://www.ft.com/content/efe70684-0d1a-453f-bbcf-d14b9dbfa28f
Coronavirus pandemic,Covid Delta strain risks spreading ‘like wildfire’ among unvaccinated in US,"More contagious variant accounts for more than a third of new cases, raising fears of another surge",https://www.ft.com/content/730e35fd-9f9e-438b-8617-c0f1bc163fd3
FT GlobetrotterTips from the top,Bulgari creative director Lucia Silvestri’s favourite places in Rome,"The powerhouse behind the Italian luxury brand’s jewellery collections shares her perfect day in the Eternal City, from morning cappuccino to sunset aperitivo, via Baroque churches and empty back streets",https://www.ft.com/content/dd03c1cb-1833-4639-82f8-ce7b233342fa
Coronavirus pandemic,Africa’s third wave: ‘What haunts me a lot is the Indian scenario’,Cases surge across the continent as vaccine rollout moves slowly,https://www.ft.com/content/76c37996-490d-42da-9568-44e689b4b662
Your QuestionsLucy Warwick-Ching,"I’ve received a ‘nudge’ tax letter from HMRC, what should I do?","The letter comes with a certificate of tax position to complete, but I’m wary about completing this.",https://www.ft.com/content/12a5207b-d602-4fd0-bf6c-e1b6895d8663
Coronavirus economic impact,‘Amazon effect’ sets the tone for US workers’ remuneration,Ecommerce group’s $15-an-hour minimum wage is becoming a de facto national standard,https://www.ft.com/content/9e8b9727-7955-44c4-955a-73375a7a20ef
Estonia,Estonian PM warns west of damage from Covid-induced authoritarianism,Flag-bearer for liberal democracy fears that citizen rights and freedoms are being eroded,https://www.ft.com/content/49b922a5-78cd-4d00-9ffd-e1ba26a4f061
FT News Briefing podcast10 min listen,Will too many influencers kill Instagram? ,"As millennials reach middle-age, Facebook’s prize app may be losing its money-making ability",https://www.ft.com/content/f1739d54-d8e8-4566-b33a-867130c2dd6a
News in-depthLex5 min,How will Brexit reshape the City of London? | Lex Megatrends,Singapore-on-Thames or Dodge City? How London will reinvent itself post-Brexit,https://www.ft.com/video/ee442b39-74e6-4d6b-977f-2a628eb8cbdd
How To Spend It,"Travel news: island retreats for peace, pampering and privacy",Coastal idylls from the Cyclades to the BVI,https://www.ft.com/content/0dc23c46-6c15-4e4d-8e28-4f339d70d235
Evergrande Real Estate Group,Fitch cuts Evergrande rating over pressure to reduce debt and downsize,Property developer’s shares drop after downgrade adds to worries about indebted Chinese group,https://www.ft.com/content/ae65aea5-d013-46e0-b3a3-8baf86fc31b9
Myanmar,China bolsters ties with Myanmar junta despite international condemnation,Beijing makes ‘fundamental assessment’ that its neighbour is set for prolonged military rule,https://www.ft.com/content/ca43da4c-4287-4de6-ad8a-57a2a32fe7f3
Coupang,South Korea’s Coupang faces consumer backlash over deadly fire,Public furore over incident comes as ecommerce group shifts to overseas expansion,https://www.ft.com/content/2b7f256e-05d5-4781-b9c1-4f5896e52b9d
UK trade,UK exporters get more than £12bn in government financial aid,Support in year to March on back of Brexit and Covid is highest in 30 years and treble that of previous 12 months,https://www.ft.com/content/9a983ed6-e0bf-4be0-bb54-d909b20ee1c9
Channel Four Television Corp,Channel 4 pushes back against privatisation after record results,UK government launches consultation to explore sale of broadcaster,https://www.ft.com/content/486254e6-102d-4dea-af07-df407eebb364
InterviewJaguar Land Rover Ltd,Jaguar Land Rover to overhaul supply chain to avoid factory closures,"Chip shortage ‘is a real storm’ and will not improve soon, says chief executive Thierry Bolloré",https://www.ft.com/content/15450fa5-163f-4503-9781-a116edf41839
FT CollectionsEuro 2020 football championship,Tougher tasks lie ahead for England after winning Euro 2020 group,"Beating Czech Republic sets up knockout tie against France, Germany or Portugal",https://www.ft.com/content/446b6ad7-72f7-462d-b4d2-5216409a414c
US banks,Morgan Stanley to bar unvaccinated staff and clients from New York office,Investment bank says policy will come into effect on July 12,https://www.ft.com/content/489422df-6b40-4787-98df-7ac5fd3dee6b
Pakistan,Pakistan’s Gwadar loses lustre as Saudis shift $10bn deal to Karachi,Refinery move highlights infrastructure issues that threaten city’s status as investment hub,https://www.ft.com/content/88cfe78b-517f-41d9-97d1-9f7f540f517c
Argentina,Argentina averts default in debt deal with Paris Club ,Agreement with wealthy countries will buy time to bolster struggling economy ,https://www.ft.com/content/36392153-c1d1-40ce-82d9-840b05881bbc
Taiwan,Tech groups in Taiwan accused of locking up migrant workers,Documents show some foreign employees are barred from leaving dormitories except for work,https://www.ft.com/content/4269650e-7660-4b80-b294-f81b4368784c
UK business & economy,HMRC to go easy on struggling UK companies to help with Covid debt,Business secretary promises ‘cautious approach’ on collection of tax arrears built up during pandemic,https://www.ft.com/content/552e2f13-c030-481b-af47-4a0772265fb4
News in-depthUK government spending,Conservatives’ ideological splits exposed by big spending rail projects ,‘Red Wall’ Tories see HS2 and Northern Powerhouse as key to delivering 2019 election promises,https://www.ft.com/content/fa2e4b2e-0d09-4a2a-892b-91b7c3d32548
European house prices,House prices climb to record levels in US and Europe,"US existing home prices jumped 23.6% year-on-year in May to an average of $350,300",https://www.ft.com/content/3082fe00-cdb7-4eb9-ab2d-2309b9848114
Labour Party UK,Labour reshuffles top team ahead of Batley and Spen by-election,Starmer moves top aide as part of broader shake-up in response to electoral setbacks,https://www.ft.com/content/8f3dd68b-94b3-4e89-b72f-f74e49938422
HRH The Prince of Wales,Young people must be at the heart of the global recovery,We must harness the innovation of the private sector to create green jobs that can benefit the next generation,https://www.ft.com/content/99dca5de-3e82-4ce0-bc21-dfc5a0324543
#techFT,No consoling the semi deprived,"Bitcoin dips below $30,000, Monero alternative, electric planes",https://www.ft.com/content/dab4ec78-f8c5-4090-a571-6644485cdded
Covid-19 vaccines,White House concedes US will miss Biden’s July 4 Covid vaccination goal ,Country’s inoculation drive has faltered after a blistering start,https://www.ft.com/content/9ae79fec-1fc5-47f5-87b9-fc239c4b1049
Global inequality,More than 5m people become millionaires despite pandemic,Wealthiest benefit most from asset price inflation as the number of people worth at least $50m rises almost a quarter,https://www.ft.com/content/86b99144-ba71-441d-b297-ddcdc94ea7f2
The FT ViewThe editorial board,Solving the Conservatives’ old age dilemma,Social care reform is worth paying for but triple lock should be suspended,https://www.ft.com/content/55657f11-4c61-4c3b-ae1a-36be9f9db72f
LexBlackstone Group LP,Blackstone: perpetual housing crunch is boon to Wall Street  Premium content,First-time ownership is increasingly imperilled across the US,https://www.ft.com/content/8bdcd8c5-5d8a-4575-8538-f16419b03d9a
Liberty Steel,Liberty Steel UK executive pleads ignorance over finances of group,MPs frustrated by CFO’s inability to answer questions about state of Sanjeev Gupta’s British plants,https://www.ft.com/content/fdb6c9ca-9685-41c6-b5fa-ce43adb71bd6
UK financial regulation,New climate reporting rules to be extended by UK financial regulator,Most London listed companies and asset managers to be included by FCA in response to investor pressure,https://www.ft.com/content/469307f4-d11b-4128-a2b9-630ff5bb8cb9
LGBT+,Vatican lobbies against Italy’s anti-homophobia law,Catholic church fears the draft bill could erode ‘freedom of thought’,https://www.ft.com/content/49c488e3-f08f-4d53-ab2e-dfec9c71a3a1
Bank of England,Former OECD economist joins BoE rate-setting committee,"Catherine Mann becomes latest international appointment to MPC, which is facing pressure on inflation ",https://www.ft.com/content/d6c463c2-913b-49f5-9825-552883d7a918
Jet Airways India Pte Ltd,Jet Airways moves step closer to revival ,Bankruptcy court approves plan to resurrect India’s oldest private carrier,https://www.ft.com/content/3e361e06-559b-4714-b5e8-4251dc8f18eb
LexPrecious metals,Platinum: precious metal is struggling to find a positive catalyst Premium content,Switch to electric battery vehicles will mean dwindling demand in the years ahead,https://www.ft.com/content/75a9c144-3601-4c4d-99ba-a7c8a67243cd
UK schools,Covid absences triple in England’s secondary schools ,Educators warn classrooms could return to ‘unwelcome peaks’ of early pandemic without action,https://www.ft.com/content/78a24fd6-762b-4dd1-ab86-2fe85ccffda2
FT CollectionsEuro 2020 football championship,Italy and Germany raise concerns over Euro 2020 matches held in UK,Merkel and Draghi speak out as fears rise over the spread of the Delta coronavirus variant in England,https://www.ft.com/content/bdeab404-162c-41b5-9544-0886c8f977bf
Martin Wolf,The healing of democracies starts at home,The principal threats to western values come not from China but from inside our own societies,https://www.ft.com/content/d2f9b2b7-3220-42f4-a9d7-dd7f2c2609fc
Nuclear energy,Britain prepares for new wave of nuclear decommissioning,Sceptics of the fuel argue the plans demonstrate why no new plants should be built,https://www.ft.com/content/0381e567-d088-4802-a2e4-e125c8099605
Janan Ganesh,What the parable of Obamacare teaches Republicans ,The party can win a culture war but not a class war,https://www.ft.com/content/230b1803-b15f-49c4-8a57-06d768d545d3
DUP Democratic Unionist Party UK,Democratic Unionists confirm Jeffrey Donaldson as new leader,"MP was the only candidate to replace Edwin Poots, who resigned after anger over deal he struck on Irish language legislation",https://www.ft.com/content/5a755f31-aa29-4083-80f6-ae50d6f6ed86
Australia,Australians’ trust in China plummets as trade and Covid row deepens,Faith in Biden’s America rises but survey finds scant support for military help,https://www.ft.com/content/73100d4e-573e-4ed7-bf08-daa591477cab
LexSemiconductors,Japanese chipmakers: billions of dollars of state support required to catch rivals   Premium content,"Despite being home to several semiconductor companies, they all specialise in less sophisticated chips",https://www.ft.com/content/47775ab4-9672-4005-83d9-f100587bee41
FirstFT,FirstFT: Today’s top stories,Your daily news briefing,https://www.ft.com/content/ebc5fc9d-fa13-4649-bb57-85baf18715c3
Trade Secrets,UK-EU trade data reveal ‘very concerning’ discrepancies Premium content,Huge gap between statisticians on either side of Channel over impact of Brexit on exports/imports,https://www.ft.com/content/64184dc5-e3c3-4c4c-b4cd-034cfb748816
Argentina,Argentina tries to export its way out of economic crisis,Forecasts look optimistic even as agricultural powerhouse benefits from commodities boom,https://www.ft.com/content/79b5fef7-07f3-41a9-ac11-d928735524f0
Wish I were there...,Wish I were there: Michael Palin on his greatest adventure,"The veteran traveller recalls a thrilling ride through Peru’s Pongo de Mainique, ‘one of the most beautiful canyons on earth’ ",https://www.ft.com/content/f35ff4d2-3d81-4478-9e4e-4656bd1978de
Markets InsightCaroline Conway,Fico’s dominance in US credit scoring under challenge,Pressure mounts to address inequalities over access to credit by consumers,https://www.ft.com/content/046dd89d-7047-4ed4-af31-0e126f59eb00
EU tech regulation,EU opens antitrust probe into Google’s advertising business,Brussels to examine whether US group broke rules by giving an advantage to its own services,https://www.ft.com/content/b8d7bc05-7e58-43f9-b977-47bbbe5802aa
Federal Reserve,Democratic lawmaker warns Fed on raising rates too soon,Carolyn Maloney fears premature move could send US economy back into recession,https://www.ft.com/content/f108814a-c2ae-4da3-8a6b-7cf1c16e8931
UK public finances,Economic rebound reduces hit to UK public finances,Government borrowing in May less than expected as Covid restrictions are relaxed,https://www.ft.com/content/7ddc304f-dc45-4223-b652-4e014a746c41
Climate change,Australia calls Great Barrier Reef warning politically motivated,UN cautions reef in danger from climate change but Canberra claims it was ‘blindsided’ by decision,https://www.ft.com/content/8bea187a-ab1a-4f87-a472-910354832edc
UnhedgedRobert Armstrong,The reflation trade lives Premium content,"If you believed in it a week ago, believe in it now",https://www.ft.com/content/b6fd1c65-3af5-4ed8-b339-16459ecd1865
Europe Express,What unites and divides Germany’s potential coalition partners Premium content,CDU/CSU and Greens may govern together after September election,https://www.ft.com/content/b31878ef-d529-4c5e-8c56-d91393b0d8c8
LexAvis Budget Group Inc,Avis/US car rentals: supply squeezes mean tourists pay up   Premium content,The vagaries of the auto industry are behind eye-popping rates for holidaymakers,https://www.ft.com/content/ea6b042d-a007-4488-b589-b53c39d5c102
Inside BusinessBenjamin Parkin,Surging fortunes of India Inc contrast with Covid trauma,Foreign investors pour money in as companies thrive despite pandemic’s brutal second wave,https://www.ft.com/content/c8228d3b-a4a4-4615-a5c8-d3cfbf3f7c34
Global InsightKatrina Manson,"Biden lays down red lines, now he must set penalty if Russia trespasses","The US is taking a tougher stance, but Moscow’s foreign policy goals need to change first ",https://www.ft.com/content/837d80e9-6396-4156-bb49-414557f852e5
Eurozone economy,Eurozone economy edges back towards pre-pandemic norms,"Consumers return to work, rest and play according to high-frequency activity data",https://www.ft.com/content/d0619910-525a-4191-9aae-a0907eb5fb99
News in-depthGreek economy,Greece struggles to find tourism workers due to risk of more lockdowns,Worries about the return of Covid restrictions deter staff and threaten economic recovery ,https://www.ft.com/content/98fe5478-89fc-44cc-8b61-4630b1e64ddb
MSC Mediterranean Shipping Co SA,Shipping boss warns EU carbon plans threaten to raise industry’s emissions,Head of MSC says the commission’s move to cut CO2 will have the opposite effect,https://www.ft.com/content/787c5746-9925-462c-a3ff-0b3337d7a4a5
Climate change,UK aviation sets short-term targets in 2050 zero emissions pledge,Sector calls on government for faster action to boost investment in clean technologies ,https://www.ft.com/content/8ccb7853-6065-45a6-9b73-515c7e4a1935
InterviewBridgewater Associates,Bridgewater’s Prince rejects return of 1970s ‘Great Inflation’,Hedge fund’s joint investment chief forecasts only ‘moderate’ rise in US prices,https://www.ft.com/content/717204fa-45e0-4b11-94c2-cf50b8aacbc0
Property sector,Online shopping boom in pandemic drives demand for warehouse space,"Property investors throng into logistics sector, betting the change in habits will last",https://www.ft.com/content/1ddf26ac-6bf5-4fb0-bdec-8ab70d61197f
FT MagazineTim Bradshaw,The new 20-second rule: how to tackle screen fatigue and sore eyes,‘My optician said I was one of several recent customers to show a deterioration following Covid-19 lockdowns’,https://www.ft.com/content/9f6ec081-cda8-4e2c-8665-c38cefc27d0a
UK inflation,Bank of England under pressure to show it can keep lid on inflation,All eyes on bank to see whether its signals follow Fed in pointing to earlier rate rise,https://www.ft.com/content/9c6487ac-4530-4df6-9dd4-a4b46a180734
FT WealthRhymer Rigby,Rich professionals are scammers’ favourite targets,Evidence suggests wealthy people are most likely to be caught out,https://www.ft.com/content/ac40772d-fdb4-44ed-b9d9-1be63d748742
Coronavirus pandemic,"Coronavirus: Delta variant now represents 20% of new US cases, Fauci says - as it happened",Weeks of disruption in Shenzhen help push container freight prices to record high,https://www.ft.com/content/0c4de3ff-5623-4a31-b6fe-0d4377360c51
News in-depthShipping,Covid outbreak at Chinese port exacerbates global supply chain delays,"Five years on from referendum, 4 out of 5 Britons surveyed say they would still vote same way ",https://www.ft.com/content/c3c55dca-2ee7-488a-ad68-9286822b881c
Brexit,Brexit poll shows ‘limited enthusiasm’ for UK-EU trade deal ,Japanese company says supply chain specialist will boost software push after investor scepticism,https://www.ft.com/content/3f0290a2-362d-432c-b89e-c7151ff45508
Panasonic Corp,Panasonic defends $7bn Blue Yonder deal after questions over price,Former London-based metals trader James Vorley jailed in US for a year and a day,https://www.ft.com/content/ef24deac-2d6e-4a43-8d1b-3957ff61e7a0
Federal Reserve,Fed’s Williams says US economy does not yet justify policy shift,Equities across Europe and Asia-Pacific rally as investors are reassured by signals from policymakers,https://www.ft.com/content/d2327df9-513b-4f04-a7f7-1bb73e887582
UK politics & policy,"Sunak was worried about Johnson’s handling of Covid, says Cummings ","Former adviser, in online Q&A on time in No 10, describes PM as ‘pundit who stumbled into politics’",https://www.ft.com/content/f4d67fc8-f696-43a9-b433-b113cbde3013
State pension triple lock,Downing St vows to stick with pension ‘triple lock’,No 10 insists committed to pledge despite Treasury concerns on potential £4bn cost of uprating retirement payments,https://www.ft.com/content/98c7e44f-f769-44ea-b37b-4803ec8d2c83
Northern Ireland,Donaldson calls for ‘decisive action’ over NI protocol ,Frontrunner for DUP leadership declares candidacy and warns stability of power-sharing government at risk,https://www.ft.com/content/38b8a7cc-87f3-4863-9dd8-c27c72f6152d
#techFT,China squeezes bitcoin mining and trading,"Germany’s Apple probe, Northvolt gigafactory, Angell e-bike",https://www.ft.com/content/4f5d1e01-97cd-4a32-92e3-6b9790089bb2
Coronavirus pandemic,UK warned overseas travel will not return to normal before next year,Johnson says priority is to keep people safe in Britain but suggests relaxation of quarantine rules being examined,https://www.ft.com/content/6bb22b32-6e29-4933-a419-70f2b00ad805
The FT ViewUS healthcare reform,Supreme Court’s ACA decision puts stability over ideology,Obamacare ruling showed justices understand need to protect the institution,https://www.ft.com/content/7fb77281-2117-4130-8015-adc70b9e2f39
Coronavirus pandemic,Coronavirus: Canada eases quarantine rules for fully vaccinated travellers - as it happened,Government unveils consultation to subject more plans to value-for-members tests,https://www.ft.com/content/8c3c9d36-1f18-4e42-9b84-e15f75b9246e
Workplace pensions,UK weighs extending consolidation of pension sector to schemes of £5bn,"Collegiate sport governing body unfairly limited education-related benefits, judges rule",https://www.ft.com/content/7c080b5c-12c6-4b1f-a746-5d66778ebbfe
Sport,Student athletes win US Supreme Court showdown against NCAA,A transnational institution could prosecute those whose governments are unable or unwilling to ,https://www.ft.com/content/9c00913e-afe8-4dc8-8881-38d93d713d49
Elaine Dezenski,An international anti-corruption court is needed to deter kleptocrats ,Pedro Sánchez is right to seek a way out of political paralysis and social division ,https://www.ft.com/content/ae777aeb-e049-486d-85ad-c2ff766600fc
The FT ViewThe editorial board,Catalan pardons offer a chance of reconciliation,"Leading in the polls, Merkel’s CDU and the CSU lay out their electoral agenda, promising ‘modernisation’",https://www.ft.com/content/b1616d00-18bc-4dc7-852a-3544a6aaffac
German politics,German conservatives pledge tax cuts and stability to voters,"US, Canada and UK also act to increase pressure on Lukashenko regime",https://www.ft.com/content/8f8c6b4d-d88a-4164-8e3c-10b393e822b9
Belarus,EU agrees new sanctions to ‘tighten thumbscrews’ on Belarus ,Budapest’s anti-Beijing road signs may not stand the test of time ,https://www.ft.com/content/590df795-6bb5-4413-879d-de98435263bc
Victor Mallet,The slippery slope of politicised street names,Incoming leader rules out meeting Biden and will ‘not negotiate for the sake of negotiations’,https://www.ft.com/content/d553d931-37ee-4d29-b113-dfb052c533be
Iran,Iran’s president-elect Ebrahim Raisi signals tough line on nuclear deal,Report by OECD finds misalignment between qualifications system and wider goals of curriculum,https://www.ft.com/content/1e257cb9-da14-4ebf-9bea-869f64918273
Scotland,Scotland’s school exams body to be scrapped ,Price tumbles after top economic planning agency says it will probe ‘malicious speculation’,https://www.ft.com/content/b8e4bd4e-2cb0-4688-82ba-b4ce21c32a13
Industrial metals,China cracks down on iron ore market,Green candidate steps aside so as to exclude far right in final regionals vote on Sunday,https://www.ft.com/content/15cd3efc-3dbe-46a6-8692-bdf20734101c
French politics,French left and right unite against Le Pen in Provence,"Tech giant joins Facebook, Google and Amazon in sights of country’s competition watchdog",https://www.ft.com/content/9f0bb544-2152-4f74-ba18-968e06a30be9
Apple Inc,German regulator launches antitrust probe into Apple,Foreign exchange reserves offer only a partial defence against the effects of policy in the rich world,https://www.ft.com/content/ebecbde1-09ac-4c1c-a47d-8f6803d0f339
Duvvuri Subbarao,Emerging markets are right to worry about capital flows,Decline attributed to a fall in immigration during pandemic,https://www.ft.com/content/30652b8d-8aff-444a-a703-fd8582058c69
German economy,Germany’s population shrinks for first time in a decade,NFU says government should invest more to help open new markets for British agriculture,https://www.ft.com/content/d75f41e5-8304-478a-a7ba-201a87c2afae
UK trade,Farmers lobby Boris Johnson for UK strategy to cope with trade deals,Pro-democracy newspaper’s assets frozen and 2 senior executives face national security charges,https://www.ft.com/content/da40fe17-f302-4ab3-983d-5a890fe50644
Next Digital,Hong Kong’s Apple Daily at risk of imminent closure ,Bank’s dominant position in Hong Kong gives it an edge as it prepares to expand in region,https://www.ft.com/content/b9cbb594-aa2e-491e-a0b4-2340a2423bbe
Chinese politics & policy,China orders banks to intensify anti-crypto campaign ,Beijing wants to cut off all Bitcoin-related transactions ,https://www.ft.com/content/e8ea05b1-f0de-4af9-b337-ba42dda6ae6e
Belarus,Belarus bonds tumble as investors brace for ‘Venezuela-style’ sanctions,Provisional rules banning trading of Belarusian securities could leave bondholders stuck,https://www.ft.com/content/8a1095bc-83b5-453d-91c8-60236641f86d
Spanish politics,Spain’s PM to issue pardons for 9 jailed Catalan separatists,Pedro Sánchez says decision will pave way for reconciliation despite strong opposition to move,https://www.ft.com/content/e3f8e802-7787-4c66-813e-7cc95e9d7b10
Tokyo Olympics,"Olympic venues to cap number of spectators at 10,000",Decision a rejection of country’s official medical advice to hold games behind closed doors,https://www.ft.com/content/eafb2809-2103-4d6e-97d7-da760095718a
Adani Group,Shares linked to Gautam Adani recover after recent sell-off,Indian tycoon’s companies had been hit by concerns over foreign funds freeze,https://www.ft.com/content/17a9cac6-d258-47c7-b629-293788acc017
Gideon Rachman,How China broke the Asian model,Beijing has challenged the geopolitical order that enabled the rise of east Asia,https://www.ft.com/content/04d3c78f-f801-4bb2-9fa2-d9f4f096d7b7
,FirstFT: Today’s top stories,Your daily news briefing,https://www.ft.com/content/2527dbf1-e4a5-4268-81ab-b1ec05faa8db
Trade Secrets,Should Brussels regulators show their empathetic side?  Premium content,A study says the EU should drop its rigid insistence on setting the legal rules of engagement on trade,https://www.ft.com/content/07f47ac1-fc4a-42ac-8953-a83a96eefca8
The Big Read,"FT interview: Armin Laschet on Merkel, the Greens and fiscal rules","The CDU leader, now in pole position to take over as German chancellor, wants to see a return to the orthodoxies of the pre-pandemic world",https://www.ft.com/content/e3c3e517-2c5b-49d6-a566-0f6bd896f8fe
FT Swamp Notes,Competition and concentration Premium content,Deglobalisation in areas such as semiconductor production could be good for the global economy,https://www.ft.com/content/18f78d28-27e6-42f6-88fe-680dc808a539
Americas economy,"Richest Latin Americans should pay ‘much more’ tax, says IMF  ","Social unrest highlights need for more equal distribution of income, argues fund director ",https://www.ft.com/content/2dc4e9b6-1958-4e30-a444-e6aac230d0b5
Sweden,Swedish prime minister loses no-confidence vote,"Stefan Lofven has seven days to decide whether to resign, call snap elections or try to form a new government",https://www.ft.com/content/f592ab48-e3fa-4242-9088-3072e7195136
News in-depthGlobal Economy11 min,Will China become the centre of the world economy?,FT's James Kynge and Martin Sandbu discuss the prospect of a split in the world economy along regional lines,https://www.ft.com/video/4a0a55cd-b21d-4ae4-be4d-1cf92b50b6ba
Bank stress tests,US banks set to return money to shareholders after stress tests,Wall Street to use passing grades as chance to increase stock buybacks and dividends,https://www.ft.com/content/c4f446b1-a71d-4656-a81f-f2bcaf97c9ba
Telenor ASA,Axiata and Telenor to merge Malaysian mobile groups in $12bn deal,Agreement comes after the pair abandoned plan to combine regional operations 2 years ago,https://www.ft.com/content/b360c652-d483-431f-ae68-272ee4fdd38c
Global InsightBen Hall,Defeat for Macron in regional poll blows presidential race wide open,France’s leader now has reason to worry about a centre-right rival,https://www.ft.com/content/2e1604a1-9d88-4159-943a-48fd039796be
UnhedgedRobert Armstrong,There was no hawkish surprise Premium content,There was a market that had lost touch with reality ,https://www.ft.com/content/374145d5-52bc-4573-8dd7-100f1806e697
Europe Express,Eurozone fiscal hawks regroup for autumn battle Premium content,Truce on fiscal rules relaxation could break after the summer,https://www.ft.com/content/92ef4b46-b1cd-4bd0-9321-1d6c4661387d
ETF HubLatest news on ETFs,Net flows into inflation-linked ETPs surge to a record $4.4bn in May,Dash for inflation protection was in progress before the announcement US consumer price inflation hit 29-year-high,https://www.ft.com/content/c7dee007-3a72-49dc-b59e-c3cc887571a8
FT CollectionsEconomists Exchange,Esther Duflo and Abhijit Banerjee: ‘Ours is a social science’,The Nobel laureates call for better economic ‘plumbing’ after the pandemic and warn about inaction over climate change,https://www.ft.com/content/f998d48a-dd8a-43de-81e5-d530dd9df004
Iraq,Iraqi activist assassinations create ‘climate of fear’ before elections,Dissenting voices are being silenced by ‘paramilitaries clinging to power’,https://www.ft.com/content/a68ca693-67ac-4cd6-9b2b-d56da63f0ef9
ESG investing,Heavyweight investors demand more disclosure of environmental risks ,Institutional shareholders join campaign for better reporting on climate and green issues,https://www.ft.com/content/7d23ef7f-33ba-4466-b2f1-2a5dfeba1e33
Inside BusinessPatrick Jenkins,Petty protectionism will not help European bank prospects,Freezing big groups out of EU Recovery Fund syndication will do nothing to narrow transatlantic investment banking gulf,https://www.ft.com/content/d0e22154-ac2e-4e48-8413-4fd33cb16915
InterviewGerman politics,Germany’s Armin Laschet warns against cold war with China,Frontrunner to succeed Merkel says EU best served by co-operation with Beijing,https://www.ft.com/content/c3a321e9-f85c-42f7-b02c-0644f7fd7c75
ExplainerCharts that Matter,Timber prices fall as US consumers swap DIY for going out ,Easing of Covid restrictions leads to downturn of more than 40% from early May peak ,https://www.ft.com/content/38bedc2b-e605-4b7c-8f6e-9f61c398718c
FT Globetrotter,FT readers: the Paris restaurants you can’t wait to return to ,"As things return to a nouveau normal in the French capital, we asked you to reminisce about the eateries you’ve missed the most",https://www.ft.com/content/6f3650b4-6a21-47da-bd33-93b5a7105089
Corporate governance,"Audit reforms risk backfiring, accountants warn ",Plans to increase the number of entities subject to tougher audits risk smaller companies losing out ,https://www.ft.com/content/081ec6b3-6478-45c2-bfe2-87533c31b006
InterviewSviatlana Tsikhanouskaya,Tsikhanouskaya: Belarusian political prisoners used by regime as ‘hostages’,Exiled opposition leader describes repression by President Lukashenko as ‘Stalin-like’,https://www.ft.com/content/ca75bc3d-53c4-4f46-8be0-3442e521c1dc
ReviewVisual Arts,Artes Mundi prize: six artists announced as joint winners,Work ranges from Carrie Mae Weems’s documentary activism to Meiro Koizumi confronting wartime atrocities,https://www.ft.com/content/77aa3274-3ce2-430f-b53f-1a23e7f58d5f
Otkritie Bank,Russia’s central bank plans to take rescued lender Otkritie public,State to sell stake in $7bn group to feed off investor demand for emerging market assets ,https://www.ft.com/content/5ab93fc6-85c7-4b41-8b1e-296cdecd777d
